Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
-29.7852,-76.1386,15.3172,-75.7064,-1.5346,-21.0189,1.6898,23.6648,-42.0708,21.6530,-42.7278,-79.6819,-8.7314,-37.8450,-69.4903,-30.8087,-33.9321,5.2999,41.6711
-33.0371,-71.3452,4.3280,-73.1158,95.6016,68.9017,111.5404,163.2572,13.4067,143.4640,-17.9119,-53.2353,88.8234,33.2502,41.4770,59.6810,-49.9942,65.0801,174.7399
-59.2634,-84.8358,-25.4473,-118.2446,166.7297,78.7036,235.1734,232.2192,182.8306,199.3857,-6.6453,-62.5053,171.1035,28.4907,134.8291,70.0329,-40.4553,77.3417,226.7413
-41.3929,-72.8899,-23.7655,-114.9590,199.7801,45.2361,297.6991,164.4930,267.9351,157.5892,-0.3167,-83.7256,183.3176,-36.2248,140.2254,-11.2872,-9.9360,75.0339,158.4046
10.5984,-16.5659,7.8501,-40.4398,226.7344,43.4073,298.2175,60.8680,230.7870,92.6417,12.3500,-69.4108,176.7478,-63.1450,138.0554,-72.2302,-0.6967,83.6304,32.3343
17.5761,58.2797,10.1207,14.1887,203.1593,32.1160,222.6337,-29.1468,158.3496,-0.2188,14.0147,-13.6674,160.3619,-64.8356,129.1171,-89.8641,-32.5222,60.7183,-115.1121
-1.2610,127.4574,-19.1501,26.0183,111.8806,-29.5405,101.8557,-128.2391,71.0506,-116.7263,6.8918,35.8129,105.9405,-86.2074,55.3108,-110.5088,-70.9191,2.1165,-228.7821
3.3192,164.1484,-31.1558,45.8451,33.9321,-72.6716,48.7989,-167.7959,31.9775,-127.9558,3.7573,35.1717,48.8254,-73.0037,-5.6521,-104.9306,-61.3029,-31.4504,-204.6639
9.5720,142.1144,-23.0468,62.7358,-6.0694,-42.3369,57.3505,-89.4922,61.3518,-18.6359,2.5769,11.0747,6.8541,-8.4425,-12.3557,-45.5505,-2.7656,-15.6292,-59.0596
28.9014,76.6680,-15.8003,32.7914,-72.1382,-0.0033,0.9767,0.7567,13.8621,36.1050,14.8593,9.8417,-52.6302,18.9065,-66.8908,2.0704,45.9815,0.8002,44.5018
86.4099,21.6632,1.7642,-17.1883,-149.9223,-3.8594,-99.9909,24.7644,-103.9590,11.2548,39.5180,22.2715,-102.6215,-3.5169,-146.2257,-6.1569,55.1913,-15.3492,44.5338
117.6237,35.7032,25.3846,-15.5750,-158.8182,5.0973,-142.5415,63.3758,-142.0173,41.7079,39.0529,53.3554,-110.3083,0.3133,-144.0707,-36.5591,39.5452,-11.3133,33.2806
