1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-211.1446,-183.4312,-191.6707,-175.9009,-153.1562,-248.6196,-155.5228,-119.8019,-107.1425,-25.7293,-283.0671,-30.5991,-44.2653,-18.3642,-25.5934,-6.2920,-139.6341,-216.7232,128.7502
-90.2895,-203.8173,-81.1487,-187.2980,-12.3406,-248.8374,17.6175,-64.6089,170.8263,27.6717,-58.6047,-46.4809,76.6375,62.5598,117.5545,61.7793,-13.9559,-176.8727,257.6174
-141.0776,-329.3807,-53.3371,-264.3108,-10.4770,-275.7823,96.2828,-95.3668,262.7034,-62.6533,-20.3598,-76.4987,48.6807,0.9361,92.0317,7.3874,-9.4549,-179.3254,278.0802
-240.6821,-419.2906,-46.0309,-248.1149,-69.6893,-180.0841,39.1470,-141.8612,234.5308,-140.8779,-66.9303,-47.7462,6.9553,-81.5911,54.9072,-54.6618,-19.3578,-141.5091,292.4416
-283.4907,-474.9883,-31.0905,-186.0229,-59.2643,-31.7456,-2.8944,-119.7847,233.8780,-102.7925,-48.1170,-34.1271,34.4036,-48.5013,104.1634,-23.9274,16.0175,-73.6909,360.3531
-314.8234,-548.5685,-36.4137,-220.1547,3.0859,44.9124,28.3948,-42.3409,139.4519,-43.0382,-6.0422,-98.4753,46.4731,11.9862,121.4698,21.6425,26.1909,-27.0812,399.3502
-352.6047,-590.1722,-30.8181,-274.7748,46.6692,116.7837,28.3055,27.2666,-56.7799,-24.6504,8.9928,-175.4865,8.8716,-8.9057,70.0086,19.6754,0.4403,31.9600,354.3127
-383.4819,-590.3597,0.3992,-250.8088,61.2987,208.6159,-16.0823,54.3803,-95.4178,10.1864,24.2862,-211.4686,-30.2694,-25.3735,35.5734,30.9423,3.9017,95.3294,272.7768
-399.4620,-575.2552,24.2341,-207.5507,78.4416,220.8002,6.5642,62.5449,60.7292,75.0408,61.6181,-211.7998,-56.6550,35.6935,21.2566,78.4505,50.9768,106.4281,198.5618
-359.2664,-493.7823,41.0214,-153.2502,101.3338,178.5921,79.0764,79.0504,159.1150,103.3484,105.4352,-166.5491,-80.4696,59.2388,-6.4587,97.2992,111.1061,116.4870,147.5892
-270.0973,-343.6918,57.1389,-25.4114,106.3847,191.6042,117.0139,102.4069,128.9285,102.3563,122.0334,-73.0513,-89.5449,-5.7755,-5.4037,77.7241,173.2540,184.1465,142.2007
-217.9656,-227.6263,56.1774,112.0236,111.0443,244.5063,190.1739,149.2076,129.3492,150.7867,132.5471,26.1826,-75.9412,-13.7928,32.4448,74.9218,212.4128,230.1208,129.0849
-213.4179,-172.0944,50.0646,153.2546,136.4802,255.8916,301.5227,197.8806,210.8515,201.9746,192.9529,75.8435,-57.8698,68.4553,38.5119,80.4547,178.7465,182.8952,16.2203
-135.8741,-81.2900,78.4531,137.6465,144.8297,217.9524,250.2541,151.0179,271.8632,136.7393,230.9573,48.7054,-31.2410,89.3434,23.0595,52.6007,118.6456,105.5917,-113.3543
72.6876,83.4005,158.5689,165.6084,125.0481,209.6864,48.0644,45.9049,237.6393,33.5096,94.7032,-20.3010,34.5678,43.7283,54.8799,28.2878,156.5233,99.3309,-120.1903
235.0179,199.7047,241.2114,236.8346,118.7430,310.8502,-22.8532,76.8894,149.0956,47.4016,-191.0406,-52.0371,100.4194,54.0830,86.6380,47.1282,256.1404,197.5499,-104.4950
164.9655,162.0236,250.3743,282.8780,129.2784,467.3932,87.8153,240.1743,157.2066,99.8304,-415.5876,-4.6344,105.0790,80.6015,75.3610,65.6833,259.5550,329.4076,-160.2695
17.8378,87.6585,201.5423,284.3929,142.5115,521.7147,187.0945,314.3824,316.7610,68.4962,-433.3501,84.7125,107.2543,50.9461,132.4011,62.3599,188.9571,356.7506,-103.5255
37.4062,128.6971,156.3239,269.7089,143.1030,420.0500,203.7626,238.9149,383.2394,35.0521,-315.5680,138.4907,139.9301,49.3541,243.6088,66.3017,167.8742,238.2554,96.0125
111.8064,207.7207,105.7312,248.0193,90.5207,255.1197,155.2527,124.7825,164.7357,36.2538,-230.7197,136.3635,102.9045,97.5105,207.0425,54.2441,176.3753,105.9376,161.9961
79.8831,213.7737,77.0270,215.9606,40.3725,123.8507,74.3363,21.7923,-55.8966,-12.4013,-200.6220,159.4992,52.1007,94.9195,101.5391,15.1705,182.2009,61.6959,111.1861
88.8629,194.5179,129.2276,171.1414,89.3424,57.6777,65.4832,-29.0587,25.0225,-42.3209,-115.2690,230.0069,150.7230,56.8751,189.1439,24.0987,197.3671,28.6704,201.7998
184.8627,165.6512,140.7866,100.4057,121.7809,32.3096,100.5720,21.7171,169.7513,34.1839,10.5698,214.3808,222.9989,51.2847,291.3292,76.8602,124.6014,-43.8048,265.6160
166.0540,105.2120,8.3597,43.2986,27.2744,12.6899,33.6308,89.6432,84.7633,99.1491,68.6183,88.3899,40.1288,34.2558,100.7368,68.6531,-25.4445,-31.5897,49.2871
71.8836,104.5223,-68.0178,82.4731,5.1451,9.7244,-43.1536,81.9599,-42.1265,105.5421,84.7212,41.4932,-139.5184,1.6239,-130.8563,17.8834,-19.3714,102.9147,-134.5940
104.8689,174.7566,30.2254,165.9464,144.6724,20.4694,4.9838,43.8647,-25.8769,127.3457,111.4316,100.7931,-76.7563,15.0580,-95.2175,14.5069,123.6527,161.3488,-12.6977
