Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
75.0647,10.7562,-73.7685,-55.0470,-66.8946,-37.6957,-57.2288,-53.7913,-61.3711,-17.2103,-66.6698,-47.2683,-80.6299,-20.5329,-21.8018,-24.7298,-91.7441,-56.8660,-19.2055
152.6794,124.7358,-106.9337,61.4796,-129.5101,-31.9487,-112.4084,-80.9744,-74.5876,-21.6753,-64.6379,31.5182,-90.5587,6.4307,-45.3288,38.6696,-75.0249,27.4858,-61.6140
-26.1824,146.5445,-164.7225,40.8862,-106.7663,1.5357,-74.4443,-12.4388,22.9825,140.7119,-99.3787,84.3095,-98.6174,40.2637,35.0659,120.8521,-74.9546,76.1294,16.4932
-91.4496,166.0692,-191.6663,-68.7857,-80.9026,34.7138,-20.4854,53.8557,73.8214,220.9941,-133.9011,84.6057,-114.7469,54.2253,91.5844,141.4324,-136.4436,28.0159,62.1730
92.1924,268.4985,-185.3231,-60.6371,-182.2871,22.7222,-71.1452,8.6625,63.2661,128.7839,-89.5010,80.1973,-142.4415,41.0496,71.8683,126.9943,-190.5219,-21.1665,28.1528
143.1990,313.7122,-181.2294,9.4861,-275.6913,0.9987,-120.1917,-37.6067,52.4797,104.8342,-16.6129,69.8281,-149.2713,23.9532,57.4349,162.2784,-184.9351,-9.1826,9.3312
-5.1314,234.9860,-169.5422,-20.0823,-207.3035,17.9706,-82.2720,13.9184,-22.8760,188.6413,-26.5043,35.5742,-133.1787,38.3952,41.5941,220.2610,-172.2376,-2.3659,-4.1783
-48.8881,177.3328,-113.0028,-46.3385,-107.2748,40.3414,-79.2674,74.5637,-108.8239,207.8587,-77.9909,20.6014,-118.9799,69.9532,-11.1397,207.4806,-162.6860,-28.3408,-29.3480
-6.0030,183.6670,-26.8739,42.4982,-106.1494,22.9131,-136.9993,80.2857,-57.8664,191.9118,-67.9390,35.5445,-98.7865,60.8367,-32.3882,149.9858,-112.6259,-46.5569,6.5485
-54.3459,147.6931,30.2035,105.3705,-114.4665,-13.4117,-132.6123,71.3699,44.8516,225.0811,-29.5967,31.4179,-79.1343,24.7404,5.8524,147.4356,-65.9488,-56.9528,81.0431
-94.9832,81.3437,31.7022,64.9980,-81.6159,-40.3435,-86.3932,54.3762,82.9646,242.6079,-32.2521,10.7819,-95.2189,30.3206,44.7128,190.1284,-84.0860,-74.8378,111.0508
-43.3369,84.5729,0.5723,40.8622,-86.8515,-79.4877,-89.8870,21.4463,120.8046,239.3554,-41.1162,2.5535,-122.2195,53.9000,69.0177,213.9024,-119.8248,-96.2926,116.3284
-2.7013,139.6196,-29.3632,58.5427,-125.0367,-141.9078,-92.2036,3.3349,126.1040,241.9091,-15.3801,-11.5012,-116.0415,38.9416,72.4736,229.4222,-112.7293,-120.6789,119.4603
7.9128,151.9289,-33.3322,49.1193,-110.7562,-168.4811,-39.5040,2.9868,36.6885,173.8525,19.4837,-26.9156,-104.1528,41.8591,24.8599,230.5712,-74.7513,-111.7440,102.1531
24.7753,88.3120,-8.1510,41.6308,-35.2343,-105.8010,20.7117,11.7457,16.7121,81.1694,47.2406,-8.5732,-92.8928,106.3970,-16.0783,165.7391,-37.6882,-38.8040,98.7317
-0.2082,-2.4879,12.2436,57.2582,49.5600,-5.5064,64.0018,48.7756,119.1309,109.2651,72.1940,24.8323,-30.0764,147.2665,27.2723,85.2574,-29.1825,27.9607,108.7420
-55.2627,-32.9883,0.2258,44.9195,103.1727,49.7916,95.3762,95.0467,148.5271,176.5951,76.7647,51.6319,47.4724,126.3605,95.3065,66.5995,-40.8685,38.5011,75.7942
-58.5134,44.8195,-10.6797,39.9580,112.3859,82.7153,104.2535,116.6498,90.5132,148.5216,58.1071,96.4273,47.6859,122.4691,95.1988,55.3416,-4.4058,68.5936,34.6274
-6.9631,175.7759,18.3779,110.0932,99.7176,159.2516,108.8494,140.9288,43.8784,114.3648,50.5176,137.2853,10.5135,157.1771,44.2102,20.0361,81.5838,146.3486,24.0367
61.8338,251.2982,56.8891,191.6945,89.9832,242.6033,112.8906,175.8438,-66.7329,118.9839,67.4865,123.1668,27.0548,180.1901,2.5744,34.5340,111.9468,186.1539,-17.0967
117.4172,222.9641,60.2868,204.0957,81.1505,251.1472,81.0330,175.2014,-182.9579,68.5325,83.5285,89.9295,60.3155,185.7862,-1.9508,76.3580,64.5045,164.8640,-67.2200
111.3017,147.9624,38.4072,175.9023,76.9178,202.2822,39.0603,154.2748,-103.4612,29.3259,86.6565,91.7332,51.9859,178.1741,28.9096,73.3201,17.7590,134.4603,-38.0410
59.1435,117.0007,16.9104,148.6602,76.4826,169.0557,33.0107,160.7323,37.6999,99.0768,91.0781,99.0554,50.4541,139.3253,63.1553,78.8696,-28.0620,112.4055,-5.2923
35.2937,145.7770,2.3341,129.6452,51.8420,164.6993,26.3523,166.1118,4.5187,137.3773,91.3269,83.2976,80.8556,95.3732,72.8994,103.8483,-94.6017,116.3726,-73.4082
37.9118,173.8547,1.1041,133.0316,11.8733,167.9633,-2.1617,146.4739,-82.7115,45.4104,59.5787,64.5107,71.5466,84.1436,54.8592,60.3303,-102.4728,161.1584,-159.3625
28.2820,153.8869,16.7510,148.3667,7.1612,182.3222,-9.7371,135.7774,-84.0268,-42.0060,4.4195,39.8198,5.0539,87.1809,-1.3963,1.1553,-22.1250,186.9037,-162.4484
12.7996,86.4385,38.4962,150.2344,38.0777,205.4190,3.1535,127.9115,-70.6829,-39.5938,-25.4204,7.7878,-31.8270,74.4007,-69.6486,20.3621,42.4430,153.8544,-98.7088
-9.3384,1.8513,47.1888,149.1909,64.9662,210.9628,20.0896,99.6783,-35.7279,5.6133,-15.8068,3.3152,-1.0915,32.3677,-67.6223,32.8737,28.7465,117.7501,-5.3010
