Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
-19.7676,-21.2602,19.1901,-39.3473,29.3690,-40.7477,37.3645,-24.6422,44.4495,9.8553,-16.4584,12.8240,40.9605,-45.9242,-59.7469,2.1679,-31.1093,-3.5768,52.6809
19.1823,20.6131,66.7506,36.1565,125.4282,2.9877,120.6781,18.6301,35.1556,-443.8104,-15.8540,46.7795,-23.5744,31.4021,-54.9103,-11.3826,37.2114,120.4565,60.3490
39.1313,92.4510,58.4417,138.9811,140.5735,94.9582,138.7748,89.2242,-29.8659,-516.0458,-29.3824,60.1634,-49.9382,107.3642,-41.7479,-27.5895,111.7092,225.4869,81.8440
99.2323,185.8704,76.3602,302.9722,118.1691,212.1450,136.8345,173.1123,-31.2933,-87.1916,-35.0500,86.9030,-16.9660,180.8608,-8.2866,-35.0149,188.6069,290.7677,105.7771
158.0966,223.3430,131.7869,415.8819,124.2187,300.8776,146.3108,223.5095,-16.5553,88.8794,-10.4453,112.2683,3.9762,232.2251,24.4709,-2.7798,228.5639,302.3372,73.6916
135.3851,187.0114,138.0357,386.9492,128.6751,317.0473,105.6499,216.3168,-98.8506,-93.6378,13.4026,104.0206,-14.4701,227.0253,6.9484,67.0312,228.4300,245.2188,15.0414
84.9413,138.5902,110.0653,324.8367,110.9234,271.8118,30.8983,188.7899,-169.6541,-92.4911,-12.0099,85.0095,-32.0255,200.8038,-75.8918,132.3824,238.5730,168.5365,10.9600
69.8956,104.3472,114.3239,320.4755,98.0534,212.6630,9.6195,172.3679,-120.5149,65.5147,-72.2059,62.4284,-28.8018,209.3734,-157.8331,161.4199,252.5050,130.6673,52.6046
59.1118,91.2970,126.3248,321.8452,94.1360,174.0681,26.2339,151.0269,-66.4517,73.5351,-99.3564,21.9169,-10.3417,224.2592,-140.0758,155.6909,243.3162,122.9547,92.1999
59.7694,117.9866,127.2720,308.0704,80.8961,160.1210,15.1187,110.4439,-75.0566,23.4350,-67.5058,10.3044,8.3213,200.0664,-18.6905,128.3663,261.2170,107.3477,117.2676
