1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-211.8750,-184.1149,-192.2442,-176.4609,-153.6515,-249.1805,-155.9015,-120.0778,-107.4397,-25.8949,-283.7470,-30.8295,-44.6008,-18.5330,-25.8689,-6.4055,-140.1532,-217.2799,128.7897
-91.8719,-205.2985,-82.3910,-188.5113,-13.4138,-250.0526,16.7970,-65.2068,170.1824,27.3129,-60.0778,-46.9800,75.9107,62.1940,116.9577,61.5336,-15.0807,-178.0789,257.7028
-145.0243,-333.0749,-56.4355,-267.3366,-13.1535,-278.8129,94.2364,-96.8579,261.0976,-63.5482,-24.0337,-77.7435,46.8680,0.0238,90.5434,6.7746,-12.2601,-182.3337,278.2933
-250.4354,-428.4200,-53.6880,-255.5926,-76.3035,-187.5734,34.0899,-145.5462,230.5624,-143.0895,-76.0097,-50.8225,2.4758,-83.8457,51.2293,-56.1763,-26.2900,-148.9435,292.9681
-298.7504,-489.2716,-43.0704,-197.7220,-69.6126,-43.4631,-10.8065,-125.5500,227.6693,-106.2526,-62.3221,-38.9401,27.3951,-52.0287,98.4090,-26.2969,5.1716,-85.3223,361.1768
-335.6890,-568.0991,-52.7946,-236.1517,-11.0641,28.8903,17.5760,-50.2241,130.9622,-47.7694,-25.4659,-105.0564,36.8899,7.1629,113.6014,18.4026,11.3605,-42.9856,400.4766
-381.7240,-617.4284,-53.6787,-297.0997,26.9219,94.4239,13.2071,16.2650,-68.6278,-31.2531,-18.1142,-184.6708,-4.5023,-15.6368,59.0278,15.1539,-20.2564,9.7643,355.8846
-418.1839,-622.8414,-26.8442,-277.4138,37.7655,181.9693,-34.0753,41.2695,-109.5372,2.3178,-8.0176,-222.4137,-46.2074,-33.3951,22.4874,25.5539,-20.7629,68.8785,274.6501
-433.4539,-607.0722,-2.4518,-233.6112,55.3900,194.6989,-11.0606,49.7024,46.8988,67.3332,29.9753,-222.5210,-72.2668,27.8361,8.4384,73.1724,26.8169,80.5185,200.3968
-389.5717,-522.1485,17.2298,-176.4843,80.7823,155.3217,63.3632,67.6008,146.7846,96.4768,77.2243,-176.1075,-94.3882,52.2336,-17.8866,92.5935,89.5665,93.3874,149.2252
-296.5096,-368.4142,36.4035,-45.6609,88.4732,171.3230,103.3192,92.4281,118.1820,96.3674,97.4464,-81.3818,-101.6756,-11.8808,-15.3636,73.6229,154.4813,164.0143,143.6265
-231.0454,-239.8692,45.9089,101.9957,102.1742,234.4628,183.3921,144.2659,124.0274,147.8208,120.3713,22.0572,-81.9485,-16.8162,27.5125,72.8908,203.1163,220.1510,129.7910
-182.0223,-142.7076,74.7123,177.3247,157.7711,279.9994,317.8013,209.7423,223.6256,209.0934,222.1788,85.7458,-43.4504,75.7126,50.3510,85.3297,201.0611,206.8259,14.5254
-34.9227,13.2022,157.7068,215.0429,213.2899,295.4700,302.5974,189.1586,312.9378,159.6298,324.9321,80.5458,15.1240,112.6790,61.1278,68.2760,190.3973,182.5400,-118.8040
224.7639,225.7464,277.9591,282.2007,228.1787,326.4612,126.9159,103.3611,299.5153,67.9925,236.2698,27.6645,104.4135,78.8817,112.2271,51.9017,264.6123,215.2482,-128.3998
395.4449,349.8670,367.1574,359.8292,227.5366,434.0373,60.3282,137.5007,214.3693,83.7780,-41.7004,-1.4378,174.1004,91.1667,147.1343,72.0387,370.1647,319.8324,-113.1553
292.8066,281.6849,350.7382,380.8899,215.9738,565.5585,154.1008,288.4742,209.2219,128.8180,-296.5814,35.6872,163.7939,110.1528,123.5693,85.5340,350.4186,426.8520,-167.1707
97.9665,162.6603,264.4488,345.8251,196.8508,583.2431,228.6412,344.6560,349.3633,86.6652,-358.7590,109.9854,144.0559,69.4683,162.6173,74.8020,245.9089,417.8271,-107.8510
117.2434,203.4260,219.0014,330.9176,197.2446,481.3546,245.1582,269.0784,415.7231,53.1550,-241.2482,163.6716,176.5977,67.8090,273.7150,78.6985,224.6189,299.1097,91.7026
195.8353,286.3730,171.6995,312.4417,147.5049,319.6429,198.8217,156.5296,198.9249,55.3071,-152.4979,162.8665,141.4973,116.9344,238.7294,67.2918,236.0992,169.9869,157.4600
30.3491,167.4090,38.1394,177.9843,6.7810,85.8150,48.6530,3.0777,-76.0508,-23.6330,-246.7329,143.8760,29.3507,83.4694,82.8600,7.4791,146.9944,23.9395,113.8601
-87.5543,29.3885,-9.2718,35.8877,-30.2949,-77.7876,-25.9891,-95.7113,-46.7571,-82.3230,-279.4942,174.3643,69.6981,16.0951,122.6178,-3.2947,71.9778,-105.8002,211.3233
225.4195,203.6131,172.6264,131.4994,149.2845,63.4519,121.6007,37.0399,186.2528,43.3801,48.3238,227.1725,241.6258,60.6597,306.6230,83.1577,153.4273,-12.8912,263.4266
613.1223,523.6751,359.3383,386.0524,330.4538,355.9799,265.4355,258.5509,266.6640,200.5207,484.7904,229.3969,245.4585,137.5986,269.3241,138.0722,292.3113,309.1794,25.1532
650.5995,646.2098,386.3132,526.1572,397.6014,454.1027,256.9105,300.6057,193.3382,236.7644,623.4431,224.0224,126.2745,135.3979,87.3748,107.7443,391.9536,544.0298,-165.8346
607.3427,645.0801,424.7011,551.1778,485.4250,406.3036,265.5163,233.7053,178.5668,241.2802,579.1802,259.2752,154.0200,131.2081,94.2630,92.5292,480.7882,544.3497,-39.8225
734.5184,699.0646,516.6665,562.9313,548.8802,402.2317,286.9255,202.2305,189.5074,195.8119,603.7203,245.7483,220.0219,146.4994,182.0076,100.5175,505.6598,467.8484,67.4585
782.6456,708.4315,491.2184,498.0276,440.8517,357.9633,174.1185,139.6093,136.4626,60.2255,596.7382,169.9672,137.1151,100.1895,128.3164,73.5035,421.5740,405.2115,-33.6986
679.0919,622.6089,394.5584,401.2496,298.0925,256.3209,70.8476,76.5716,123.0580,53.0665,489.4866,180.8750,78.9299,51.0381,89.0116,62.3191,369.3777,345.9991,-72.8223
668.0093,604.3519,381.8283,433.7466,274.4277,275.0067,115.1020,126.9953,161.5156,184.9943,441.4144,270.7716,147.6544,75.2970,168.2912,80.5138,433.0463,343.0503,-6.2989
733.3334,673.9841,397.2856,509.4821,269.6914,381.8876,159.9430,174.3931,134.8638,137.4331,463.8143,250.5947,181.4291,84.3923,206.4303,46.3964,486.7448,394.8871,-44.7783
690.3973,664.0480,372.7797,477.7697,240.9069,433.6255,179.0544,140.0854,137.9047,-3.9618,448.7612,130.3490,186.5636,54.0879,208.6815,10.6455,457.7000,428.7231,-120.2641
592.6039,577.3566,369.6241,453.1595,266.2095,495.0940,283.8735,190.1858,292.6534,109.4680,451.8743,106.4146,263.6037,90.8024,279.5596,69.7398,423.6139,451.1089,-84.5762
584.0974,603.0828,395.3268,525.8264,292.0727,588.5199,352.3669,311.6204,405.4832,274.5798,529.2391,199.0273,304.0217,162.1661,306.9375,120.6939,425.7248,467.1109,-46.6736
681.0545,759.7993,423.5882,576.7478,273.9337,578.3226,284.6756,301.4425,328.7294,172.1596,595.4322,270.3852,265.1067,152.5128,229.7727,74.6965,440.9377,441.4183,-83.6283
804.7833,854.9420,480.1075,586.4482,321.3594,508.2710,260.8862,233.8541,226.0636,65.5547,628.2123,282.9001,284.3877,113.0813,188.2351,51.4789,464.8921,457.6580,-106.8350
835.8083,834.1395,545.5046,637.0682,456.7462,531.6927,340.8406,276.7199,150.8598,156.9931,692.6763,277.5613,352.7827,135.8999,208.6588,103.6262,494.5856,591.1630,-115.8570
753.8066,815.8558,585.8743,663.1973,576.2674,591.6852,365.2103,308.0101,5.0857,178.6248,759.3561,251.3647,372.6324,172.3552,213.4329,124.8578,514.1829,697.4869,-160.5005
679.0171,767.4139,614.0454,594.5129,643.3469,573.3313,332.8969,230.3750,-47.8842,90.6416,735.9561,201.9799,376.3421,161.6031,223.2040,102.5751,504.7542,651.1809,-178.1551
646.5217,599.6605,597.4915,508.5934,654.5215,498.7568,347.2577,187.2231,137.9093,123.6542,635.2911,165.3172,375.1308,127.3527,240.8062,97.3065,449.0802,552.5646,-127.8507
593.1854,485.6911,528.7226,443.3974,598.0189,395.0137,370.6773,212.2803,287.4235,186.8002,580.9735,154.3709,337.6594,108.4103,233.7961,90.4714,377.4562,486.8056,-76.9897
549.9318,554.1595,504.9393,350.4459,526.3509,279.9327,359.4454,191.2887,227.6558,127.4940,625.9131,135.2720,327.0662,132.5760,250.7908,84.6534,338.7397,406.7567,-67.9864
541.7128,561.4169,512.8687,239.6470,467.4254,228.3880,349.6841,149.0186,211.7958,83.0449,651.5044,76.1825,345.2789,188.8210,273.9280,112.5763,302.7253,318.2162,-69.7200
494.8353,367.4345,423.6146,153.4359,377.7378,243.7797,330.6020,157.8213,283.2414,90.9070,567.0145,-0.0098,299.4308,199.4583,209.3564,112.7844,227.6958,287.9138,-46.7822
417.4707,226.3605,294.0056,112.2534,280.8405,259.2729,281.1027,174.7085,166.9980,49.5900,477.6386,-23.4534,228.1222,133.3295,124.7234,52.2078,175.4330,322.8995,-5.0134
379.3998,273.5394,287.8260,146.2496,243.4705,295.7697,247.3787,173.9389,-27.4762,41.6099,480.6646,37.5500,200.1639,68.3627,116.1840,16.9961,208.1829,391.2169,6.0182
366.9834,347.3514,379.1837,233.5442,256.6263,380.0762,268.7422,178.2446,55.5819,93.5373,514.4331,120.3225,160.0818,55.3000,101.7824,27.6312,277.8995,440.3826,-26.8557
384.4980,376.0383,444.5621,284.9156,289.1419,428.9151,332.6906,180.4099,279.5719,76.5479,531.1852,144.5107,136.5006,62.4262,69.6298,30.6732,311.9243,405.4624,-22.3421
443.4763,382.0024,437.1958,278.2833,312.5912,395.2864,384.4915,202.7601,293.4915,79.9163,539.8721,118.2125,218.2581,79.0349,140.3799,53.9624,289.2413,306.5219,58.7810
438.5291,325.1715,354.8642,262.6178,277.6499,337.0891,359.4593,246.5636,189.4074,186.8067,507.4504,108.0237,296.5329,114.8801,247.4504,100.3449,233.0636,224.9714,111.7092
351.5106,259.4691,259.3152,244.3600,210.5110,277.8757,274.8950,200.0165,190.8699,144.7207,460.4452,128.0077,260.6357,125.3796,228.8632,76.2532,205.6014,169.9725,63.1936
325.9179,262.9879,237.0477,215.2622,184.4849,202.3215,207.9719,54.2778,220.5345,-66.3437,473.0152,139.2757,221.2015,76.6547,151.2966,1.0593,233.4962,122.6047,5.6050
338.4789,236.4261,241.8468,203.0693,177.2838,153.9463,180.8628,1.0181,225.7495,-59.1304,467.0180,139.7168,244.0630,38.0684,151.6521,1.0692,246.8465,116.2440,21.8591
250.1417,132.3320,194.9868,206.5659,164.6292,164.3069,195.3341,91.3966,332.8004,154.2524,362.2822,146.9096,249.1549,92.8100,194.6269,66.1019,200.3348,143.8646,46.9011
159.9962,79.1768,161.1910,192.9447,203.4177,172.5546,256.6896,143.6297,474.6076,176.0906,302.2255,130.9242,242.9654,190.7751,206.6311,99.7498,164.3622,149.6212,29.6546
213.0936,106.0147,202.0533,174.3026,263.9174,141.3706,282.7794,102.9566,419.3574,54.7680,380.0911,89.2105,268.7284,206.9491,191.6931,104.0488,193.1356,149.4195,40.6589
290.1574,143.9736,250.3232,185.1295,235.9913,134.5273,194.5698,90.4894,183.8244,75.6358,438.2416,95.3326,260.1375,136.0239,161.2656,105.0175,225.1131,175.2926,86.6251
257.8958,196.7436,242.5301,208.2065,129.3920,178.8624,56.0734,105.6484,6.4350,105.6172,380.5837,149.6905,186.9465,86.5137,113.6423,77.1900,188.4763,172.8294,43.8852
184.3645,215.3001,181.0482,192.2597,29.3408,188.2782,-56.2301,53.7490,-12.0274,-20.0545,311.0518,139.6103,114.4226,82.7421,51.6771,35.0009,102.7141,112.2109,-82.2306
150.1685,127.5799,95.3846,123.9036,-35.6264,118.1969,-145.2633,-30.8667,9.0144,-95.2589,288.7107,37.8134,66.8483,58.0975,-4.9957,24.9893,32.5210,53.2368,-105.1818
155.2460,43.6866,39.9880,45.1890,-61.2078,41.6544,-183.8014,-62.6356,-39.2374,-16.4891,274.0522,-56.4626,29.1627,22.4648,-17.6799,38.0384,0.2990,17.3946,-2.4454
177.2663,57.0763,28.9184,1.5970,-67.4631,6.7623,-155.0271,-62.8634,-81.7124,31.3981,253.5620,-88.9188,-3.1249,27.1018,-6.9814,37.9567,-14.3616,-19.3275,15.2974
170.4335,65.9225,22.7357,7.8474,-89.1429,-5.7120,-132.7810,-84.5558,-25.4980,-16.5219,233.7478,-71.2867,-43.3514,36.9590,-41.9501,16.1069,-6.7428,-16.9765,-104.6883
130.4660,45.4302,36.7043,69.6318,-78.7810,19.4475,-140.7329,-113.5449,9.2300,-68.7526,226.8370,-8.3769,-70.8727,16.6304,-92.2268,-16.2318,51.8227,59.2967,-169.2568
121.2479,99.6983,96.2962,176.2761,4.8859,91.4478,-121.5441,-112.3962,-87.0551,-101.2959,255.4262,63.1257,-44.5931,2.7064,-82.1834,-41.2807,141.8602,145.9710,-109.6556
144.2164,195.7862,145.4611,268.1037,78.2644,146.7875,-87.5772,-80.7607,-149.4138,-112.0705,288.1101,95.4535,-0.0013,-6.2602,-52.6964,-55.3039,202.6028,187.9781,-60.7091
142.0029,227.4224,153.3173,280.4021,93.8096,155.4754,-79.2194,-50.1063,-83.3665,-94.8073,263.0102,106.0436,11.3535,-43.9639,-53.3695,-73.0853,190.3156,195.4612,-72.0067
121.2897,201.6618,131.6387,206.0631,99.5500,141.3069,-63.6629,-38.0506,-68.9492,-87.3021,187.4899,102.0666,11.5563,-69.0169,-40.5491,-87.7660,90.2585,149.6647,-81.7965
107.5019,154.3783,38.0577,86.8490,60.3912,75.1235,-28.4930,-32.9107,-94.2150,-79.9893,120.2714,51.8512,9.8540,-48.6493,-28.4109,-82.2702,-47.9682,34.5234,-105.0788
85.6654,105.7009,-96.1812,-3.8742,-66.9753,-43.2911,-25.4290,-45.3868,28.3927,-52.2976,101.5109,13.4797,-26.6722,-46.8288,-84.5329,-82.9541,-107.8075,-63.5134,-166.5293
61.5293,95.4761,-123.4158,-2.2020,-158.9688,-91.3706,-76.2872,-100.7755,92.3912,-78.3982,123.6849,67.0694,-80.3439,-99.1678,-152.9947,-121.4355,-58.7261,-54.9663,-180.6007
42.1189,100.2971,-56.2275,49.5592,-113.6351,-8.8674,-143.4792,-145.4468,-137.5149,-150.7196,124.0471,125.4585,-105.3161,-147.5897,-145.3615,-166.4751,-17.1076,27.1355,-113.9957
3.2403,67.6890,-58.4241,43.3725,-14.0731,100.4842,-161.0567,-96.0312,-284.2564,-123.9506,72.2538,73.2231,-97.8744,-142.4585,-108.8390,-159.9983,-47.6718,98.8088,-81.8392
-34.8591,35.0330,-117.0555,-17.3797,49.3742,156.3419,-102.0123,1.5547,-69.7402,-16.4813,41.8673,-13.1951,-74.5048,-93.8588,-111.1776,-99.0323,-76.3336,114.1675,-129.9370
-31.6999,34.4727,-107.6489,-41.0566,70.3088,174.7358,-47.5390,30.6438,60.7751,-3.4990,72.0615,-18.2287,-55.4868,-58.0473,-118.5207,-50.4117,-61.8387,68.0435,-150.3747
-15.9472,26.9109,-68.9697,-27.1670,44.7212,164.1741,-66.3175,-8.3525,-126.3088,-73.3107,85.0201,18.2411,-54.2990,-89.7804,-88.6913,-67.9933,-48.9597,10.9742,-108.1751
-21.6861,13.4873,-90.2113,-31.0675,-7.1118,134.5501,-84.1264,-34.0696,-185.2842,-80.9384,52.5044,19.2460,-58.1051,-141.2061,-54.6887,-104.9119,-49.9829,9.6627,-96.5549
-36.9495,11.4899,-130.5019,-26.9478,-41.9139,124.6350,-53.7530,-28.0222,13.9703,-31.8821,41.0887,-8.2379,-75.2645,-118.9973,-67.6734,-84.5557,-42.3789,54.5247,-128.9530
-69.2875,-9.3096,-130.2239,18.7830,-72.8792,133.6072,-62.7515,-13.9322,79.4106,-3.8680,48.1498,-39.8176,-127.5046,-71.4907,-105.3883,-37.6054,-36.5509,96.0399,-130.0404
-124.7652,-24.8230,-108.6580,49.8370,-122.2987,132.7393,-120.8675,6.0346,-7.1515,22.7418,13.7588,-65.9298,-164.6486,-96.0143,-97.6464,-33.0891,-51.7185,124.2935,-100.3690
-150.2864,22.5474,-104.0310,24.4460,-163.4384,126.8523,-119.1706,32.7680,41.0041,84.5038,-35.9541,-67.0699,-138.5947,-117.4897,-57.8405,-33.1484,-76.4492,133.5107,-77.5125
-107.4372,82.7262,-117.8674,0.0531,-182.0534,126.1009,-55.8241,62.8291,133.5626,144.8666,-38.0459,-53.0391,-111.5643,-39.9502,-63.8343,19.3271,-76.8529,121.9503,-55.2342
-38.3807,77.4096,-111.2393,32.7916,-180.8807,130.5094,-26.4334,89.0787,85.4227,139.0133,-7.1242,-62.7894,-129.0559,35.8146,-93.3270,74.3621,-33.0757,139.4015,-59.0293
-6.5227,28.7503,-64.2283,89.6739,-141.4057,153.9049,-36.0429,98.5337,58.3931,77.6097,17.0190,-82.2113,-124.3621,10.3484,-67.9257,81.3101,23.1342,203.4557,-100.0003
-18.3062,-11.1149,-15.8694,117.3813,-66.6011,198.3745,-20.1236,119.2864,174.1334,86.8830,50.5997,-57.7799,-58.6332,-20.0250,-10.5953,83.9621,54.4270,256.0616,-80.9502
