Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
-31.2921,-4.2379,-22.0049,5.6113,-38.6405,53.3690,84.1964,35.9488,74.5141,-72.6515,-26.5279,-20.7581,-25.9299,-9.2057,-0.3961,-8.0447,40.3498,80.2237,126.4698
-33.1372,-33.7851,-39.1446,-40.9732,-51.8024,-13.2230,16.6946,-13.5525,31.0005,-40.6185,-32.6958,-25.3948,-59.7515,6.9388,-3.5535,7.7949,-16.2257,-12.3936,51.0661
-37.0884,-54.6807,-56.1322,-78.1411,-15.3263,-65.4586,-56.3781,-46.8229,16.6301,49.5794,-39.0287,-32.4379,-16.6514,4.5468,22.0085,3.6674,-105.4587,-100.2620,-44.4110
-30.9150,-19.8583,-42.6147,-13.9213,5.5332,-44.9586,-100.1085,-34.5960,-27.9394,98.1053,-32.2864,-26.1767,18.9237,-13.7912,15.8118,-10.8174,-114.1174,-105.2470,-122.5712
-41.1837,12.0324,-42.0651,62.1771,-66.5058,-24.5598,-168.9722,-38.9673,-147.6972,54.0630,-40.4210,-18.0615,-48.0306,-42.3029,-69.7636,-37.4075,-78.8719,-101.1600,-189.3192
-79.9760,-15.7349,-85.2480,41.7745,-161.2976,-57.8485,-254.7540,-87.7468,-232.8884,5.6156,-78.2369,-31.3183,-144.9787,-58.2144,-143.5417,-60.0203,-105.3436,-162.1445,-231.6226
-108.8264,-55.8555,-130.3587,-39.3562,-191.4690,-103.0784,-276.3809,-120.8866,-216.4574,16.4022,-108.6519,-43.5886,-169.2420,-27.2272,-125.0583,-28.5083,-176.4565,-245.7677,-255.8185
-111.9588,-53.5282,-148.8533,-102.4487,-204.1999,-124.2115,-274.6703,-110.8104,-210.9647,31.9996,-112.6893,-24.3344,-158.2563,18.1074,-96.3852,29.0282,-217.2063,-295.8945,-314.1000
-123.7423,-36.4762,-163.5740,-112.6117,-267.7044,-134.5226,-359.9682,-113.9979,-296.3039,2.3556,-121.4022,-8.1001,-194.3412,2.8647,-153.6615,19.5524,-224.3494,-314.4839,-402.4157
-151.5159,-47.8679,-186.5113,-80.5725,-346.6687,-158.1350,-479.6029,-167.2992,-396.0679,-46.8534,-145.0260,-30.4465,-258.9416,-48.0533,-247.2542,-30.6283,-236.8852,-326.6944,-454.3922
-150.7747,-68.5053,-189.1135,-62.7202,-362.4528,-193.6818,-497.7485,-225.9837,-432.1271,-82.5500,-143.5901,-46.1285,-272.7008,-44.0042,-281.6134,-18.0077,-253.1682,-334.6947,-449.7939
-97.3785,-54.3570,-139.0515,-79.8772,-291.7208,-200.4536,-427.0447,-236.6557,-412.6198,-104.5836,-92.1216,-13.3701,-219.7693,-2.5044,-254.4384,25.5828,-222.6203,-295.5062,-407.1805
-30.9218,-11.6940,-57.7186,-77.7239,-188.7672,-157.5323,-358.9001,-209.2690,-369.2719,-121.9075,-27.2534,27.2507,-162.0371,-4.3537,-218.1142,4.6271,-135.2509,-196.6130,-337.4884
-4.3230,10.7698,-15.0227,-47.4890,-128.4653,-122.5469,-306.0632,-192.8418,-329.1501,-135.8959,-2.0264,36.3425,-140.0096,-30.3385,-188.9486,-47.1565,-77.0448,-136.0344,-292.3420
-15.0270,-7.7329,-31.6309,-48.1712,-128.1694,-155.2988,-277.1255,-216.3433,-318.2933,-141.7193,-14.9740,32.3449,-135.1517,-21.8793,-161.5966,-54.6154,-106.8584,-191.8723,-333.6031
-22.8812,-37.6194,-54.8247,-79.3137,-149.5171,-217.7353,-312.2163,-251.8457,-332.5716,-131.5788,-24.9072,29.5423,-137.7182,0.9044,-151.0877,-31.7473,-159.2968,-276.9757,-404.6446
-23.1915,-42.7296,-63.1937,-90.3724,-150.3849,-217.7087,-348.9708,-228.0733,-323.4007,-91.1321,-25.7678,19.1707,-154.4754,7.8192,-151.1820,-7.0880,-171.5726,-273.3637,-375.4083
-40.9727,-23.9609,-81.2408,-78.2578,-114.8512,-137.1994,-283.4351,-133.5214,-253.0666,-18.0556,-43.1744,2.8145,-157.2957,6.1012,-120.5077,8.2100,-168.1453,-204.7643,-249.5378
-62.0956,-18.9695,-90.8697,-61.2648,-80.6860,-74.5093,-179.5450,-74.7298,-166.7071,32.8559,-64.2958,-14.5358,-125.8537,-11.5694,-71.2164,-14.7402,-155.3923,-163.4594,-177.1247
-43.6928,-43.0578,-54.1997,-36.6371,-93.1985,-104.1084,-161.8793,-117.5341,-136.5762,-2.8850,-46.5790,-21.1637,-90.2432,-24.9827,-59.0982,-42.0132,-100.0815,-171.4597,-209.3848
7.0431,-50.3370,3.4763,-12.5650,-102.9811,-140.1754,-174.3539,-160.6884,-138.1512,-77.1168,3.0378,4.5285,-64.0823,20.0535,-62.6957,0.6512,-29.5605,-178.5014,-216.5138
24.4921,-18.9575,17.6206,-11.9355,-56.4295,-90.8137,-119.4995,-122.1364,-115.5320,-84.0883,20.1251,37.8422,-40.6085,71.5129,-38.3790,49.3814,-16.6794,-152.7396,-143.3649
-21.3789,-11.3229,-30.7827,-38.4785,-38.0231,-45.3790,-78.9121,-82.7820,-111.3814,-34.9284,-23.9764,24.4323,-53.4973,26.6747,-39.2190,-5.3649,-68.3040,-134.7160,-113.3753
-54.6041,-45.9869,-66.6268,-58.5424,-89.0576,-81.2903,-125.5545,-92.7967,-149.8214,-3.2095,-56.6138,-8.0771,-100.4994,-40.3635,-82.4293,-70.4241,-92.2207,-155.4321,-157.4925
10.9940,-36.7036,4.6808,-30.0498,-64.6012,-88.0819,-143.7770,-76.8548,-143.0891,29.0242,2.8702,16.4345,-92.3371,9.1771,-62.8879,-7.3721,-9.1123,-156.5800,-147.4745
116.7064,30.9893,129.0739,17.1085,75.5854,-18.0575,-62.6960,-31.2275,-81.3270,83.9483,100.0879,75.8084,-10.9383,100.0036,26.7828,85.4503,101.8121,-102.2657,-82.5532
138.9557,51.8004,156.2304,2.7389,153.4029,-3.0562,6.3327,-37.1634,-60.5918,97.0144,121.7605,86.5093,41.3373,86.2270,57.1546,63.5833,101.4196,-55.3130,-72.7322
102.1480,5.2294,104.5543,-51.6483,124.8782,-65.6117,10.2743,-72.9061,-53.7376,52.8042,89.9358,50.7279,32.2332,20.5086,30.6799,-4.2131,43.0639,-37.0123,-72.6651
109.3987,-12.4902,113.7099,-42.5781,128.1451,-80.2008,32.2355,-68.4564,19.4581,14.4458,97.8921,30.4943,36.7476,6.6451,59.0530,-21.8923,73.1816,3.8614,-19.1050
137.6641,26.3708,162.8497,27.2945,162.4799,-43.2852,73.8015,-52.4868,68.3669,-7.9108,125.0729,36.1507,71.4353,6.2414,107.9296,-32.5109,136.8476,49.5019,-32.8349
130.1131,63.0949,158.5921,69.4375,145.7963,-44.0207,44.5646,-64.4909,3.2856,-14.8199,120.3973,39.2819,87.8685,-18.8406,87.3074,-47.3721,111.7223,50.4766,-155.8854
131.5769,65.7639,146.5229,59.5531,128.2286,-76.0051,-44.5355,-77.4498,-73.4221,41.4111,122.5840,33.6564,81.1560,-18.9217,45.6009,-10.4343,61.1213,27.7312,-226.8422
146.1190,36.6671,153.0907,14.5002,131.5495,-98.6169,-97.0878,-79.9223,-77.5917,120.9020,133.1123,27.7891,65.0146,9.1680,40.3605,39.1502,52.3510,-10.1389,-200.2128
106.2475,0.6400,108.1370,-39.0014,83.4457,-106.5885,-88.4539,-81.1673,-68.2003,124.1019,92.8506,22.6823,32.9398,16.9879,36.0472,33.6403,24.2015,-74.2253,-192.9031
