Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
-36.0467,-61.7006,17.8368,-14.9148,-11.4076,50.8389,-56.6007,53.2910,-37.5274,-55.9949,12.8790,-33.8807,6.8163,-13.1603,-40.9399,-12.1298,-35.4005,2.5387,-21.3713
19.2775,35.2200,56.0474,16.6762,4.4781,23.1655,-31.4939,25.1679,-15.5755,38.3243,54.8076,20.8287,-0.7176,-8.4663,-51.4952,-81.6189,105.9136,-1.2841,-32.8387
81.4158,167.7889,96.3986,62.0637,54.9595,-26.8640,39.0903,-32.4253,74.3565,167.9687,88.5939,50.3205,-35.0313,-45.7535,-32.7730,-161.7021,199.9557,-27.0977,-15.0100
85.8712,171.5954,76.8962,81.2737,60.3679,-37.1735,44.2413,-39.2503,166.9504,207.2822,69.6523,10.7059,-64.3434,-93.5727,4.1176,-163.5337,187.8609,-68.1543,1.1020
60.7289,81.2208,23.9326,72.0487,-1.9003,-16.5575,-9.8859,-10.7004,210.5933,184.9755,41.5246,-30.9956,-70.0006,-85.3779,31.4887,-111.9961,168.6379,-91.5799,-22.1566
59.8147,64.2393,7.0378,76.9272,-40.2529,-22.4171,20.5796,-13.3078,250.1322,199.6791,70.7730,-10.0322,-59.1654,-48.5319,64.3338,-98.1188,193.2076,-81.5988,-41.9737
59.0207,116.6854,2.8404,89.9493,-29.4679,-46.7050,102.0228,-35.5466,283.3866,197.9583,117.4330,40.4951,-50.1708,-58.2532,102.5458,-130.5516,198.8193,-63.8713,-27.9776
34.7264,132.9485,-26.6269,66.6503,-29.1223,-51.9787,94.1240,-41.5166,241.0046,123.4523,113.5494,70.3686,-49.2514,-87.0323,101.9316,-153.2760,157.5454,-63.0004,-22.9173
14.0741,115.5214,-43.1410,17.3795,-40.7451,-49.0913,43.4389,-36.9361,153.2041,70.5481,81.8954,71.4930,-40.7233,-63.9346,61.9939,-140.8881,112.7442,-73.6053,-38.4625
-3.0847,93.7606,-38.1890,-19.2327,-39.9625,-55.8677,33.1164,-22.3280,115.0443,83.0631,64.7038,36.5504,-22.6139,-20.6247,33.8332,-103.6617,88.2587,-82.7650,-34.9031
-32.8921,48.3284,-48.6626,-42.4367,-43.9519,-64.7555,6.9473,5.5163,125.9131,84.4749,49.2896,-25.6220,-22.3088,-10.1896,36.9526,-57.9917,75.5396,-74.7066,-11.5462
-48.9969,3.0941,-51.2982,-52.8669,-44.3560,-69.1927,-35.5120,22.7294,128.0266,61.0066,21.1158,-60.6860,-46.3010,4.4877,51.2172,-18.1708,78.8104,-31.0375,3.0256
-35.9164,-3.3664,-19.2316,-32.3658,-16.5620,-57.4345,-29.5261,19.1099,98.4960,39.5563,-2.3819,-50.1797,-62.3194,35.0441,46.3977,5.8576,112.0089,33.7497,3.0946
-12.2461,7.0071,8.5946,8.0902,13.7720,-22.3646,-34.2119,8.7549,35.6443,-9.1942,1.0494,-45.2290,-50.8465,12.1779,-0.7774,1.1661,166.8315,79.9928,-11.5796
22.4028,20.3594,20.5311,36.2115,25.0475,4.5699,-95.3275,-7.8875,-34.1627,-64.0751,29.1555,-55.3882,-33.0856,-51.4438,-60.6278,-34.1272,209.4452,98.9920,-33.8731
63.0955,50.7575,40.3487,46.3332,30.5267,-0.7255,-117.4879,-29.7421,-64.7835,-58.2118,46.0021,-27.4400,-40.3899,-55.6745,-74.0017,-65.9148,221.4362,106.9861,-36.1242
78.3285,78.2096,49.0826,55.4520,27.9775,-10.0113,-81.6804,-41.7424,-58.5100,-25.4286,32.1145,27.2560,-68.5582,-13.2665,-50.5664,-68.5978,227.9112,108.3349,-13.9293
69.1552,83.5247,35.8765,71.5998,19.7344,-1.6210,-85.2287,-44.9969,-44.0388,-26.3188,14.9935,30.9406,-80.3436,-28.6576,-43.1879,-68.3478,247.1612,108.8665,8.7027
53.1412,72.5529,23.5127,77.5839,20.3940,8.9199,-127.0006,-43.1540,-25.6221,-33.9518,-3.3860,-21.9067,-72.3581,-89.8275,-50.9470,-76.1973,243.7074,113.1717,32.5340
18.5708,29.0360,1.4950,52.6887,7.1114,16.6888,-137.7097,-15.6428,-24.7447,-31.9604,-46.9916,-61.4485,-79.6945,-89.5661,-48.2956,-51.3903,191.9165,105.7753,73.5216
-19.0346,-37.8993,-24.8568,19.6083,-21.8450,25.7203,-116.7027,39.0971,-59.5760,-41.8731,-68.9257,-61.4705,-83.9446,-12.1171,-38.4477,4.8124,135.4786,91.4911,117.9041
-19.0481,-58.3299,-0.2724,21.3668,-0.8622,24.0106,-71.9698,76.6273,-81.1157,-32.3944,-20.2318,-53.2662,-36.1852,57.3614,-27.9883,26.1485,115.4291,96.5043,136.7998
0.5647,-19.5584,61.9224,49.1667,79.9257,13.8216,-3.8736,65.2467,-58.5325,17.4692,30.6552,-58.2419,23.1378,71.0295,-25.2432,0.1445,108.6401,101.7628,119.0917
9.7007,5.8094,95.2803,69.4784,146.0307,14.7599,35.8100,29.0776,-41.5569,48.9626,18.6548,-71.2549,32.1292,69.2623,-38.5287,-9.1637,94.4072,86.9856,75.3712
29.4576,-2.1171,115.6332,87.7547,178.1100,26.0177,33.7428,4.8690,-55.2283,33.6683,-10.4988,-69.5180,36.4028,92.7689,-44.1375,17.0272,94.2154,103.0626,27.5347
54.9848,10.4185,157.2890,108.6414,209.7391,35.2803,56.1133,-10.0653,-69.6713,20.5858,-20.7629,-29.6531,79.1114,101.8544,-33.4473,26.0325,108.1471,160.6429,-11.2633
53.9644,59.3247,179.2644,110.4257,223.8513,38.1761,104.2468,-37.3462,-73.2891,32.7354,-25.5667,30.1997,98.4164,50.0402,-41.6455,0.1323,106.5594,166.2134,-45.5381
53.4320,104.7175,156.1524,100.5401,191.3700,27.8982,94.4018,-76.4861,-63.6111,32.2554,-10.1490,70.8005,61.6317,-6.8955,-56.9753,-21.4597,98.8395,98.8902,-84.2191
77.4047,122.7442,112.9018,102.1918,132.1902,7.7467,15.8081,-122.1802,-43.9267,-6.4852,15.3592,103.5837,18.8527,-1.3553,-35.6929,-29.0058,120.4960,61.6568,-128.1357
87.1050,134.2525,66.3835,105.8973,82.0802,-2.7869,-36.9888,-173.8918,-47.4255,-43.3705,2.4150,151.0692,-10.8796,8.2282,-15.3853,-45.5987,159.9092,80.9274,-152.9520
77.6484,157.0557,43.4292,105.6093,66.2862,-3.4134,-1.4819,-194.2301,-61.5404,-17.5310,-20.1719,164.7487,-30.3699,-52.4038,-36.7021,-53.9197,172.6331,81.5192,-114.7805
77.9246,160.5164,55.9857,107.5924,76.8327,-9.5192,73.9193,-143.1130,-32.0252,49.1919,-2.4103,107.4769,-10.8057,-116.8261,-42.8655,-23.4534,147.5518,56.7898,-18.4465
65.0979,126.3758,52.8434,90.5907,70.4432,-18.1300,116.5201,-63.7845,1.5332,72.7440,12.8433,52.4413,36.8873,-87.5524,-9.4119,20.1460,113.4102,46.6758,60.5904
36.6371,106.5121,22.2801,48.5842,46.6100,-27.3883,129.3101,-22.1322,-30.6133,46.3531,5.0271,63.4275,65.4489,0.6358,1.5053,46.3412,98.7507,26.3538,72.9342
42.2777,114.5896,15.2391,10.4561,41.3329,-48.2836,131.8064,-1.2049,-75.2909,30.4431,24.1599,73.9440,76.0726,48.4005,-18.1146,71.4640,91.9074,-23.9606,46.1313
54.1612,70.2851,5.5572,-33.8924,25.3005,-66.8198,93.2103,32.0010,-73.5146,33.0999,38.7893,16.1899,78.3930,38.5229,-26.7165,94.8718,47.2001,-61.7865,20.7085
11.1691,-29.2280,-46.3730,-94.3752,-22.9180,-60.1343,38.3200,54.7648,-67.1644,42.0756,-17.5457,-47.1919,63.1968,31.9643,-25.9836,94.1345,-31.1801,-63.0101,16.6915
-27.3647,-59.8257,-54.2521,-98.5200,-12.5100,-47.7419,68.3244,54.9372,-55.0231,77.5911,-83.8021,-31.0783,66.0479,53.3676,-2.7188,95.7337,-60.8671,-37.1912,37.1384
2.5101,19.8330,25.9911,-19.1017,89.0416,-58.5986,164.3545,37.1935,9.0852,116.0659,-84.6938,45.9715,101.9162,48.5934,64.3581,117.4728,-12.5627,7.8716,45.0824
30.1616,112.5284,78.1483,34.3874,148.9903,-78.0625,184.0103,-22.9527,56.8553,105.7217,-61.8896,115.2977,98.2687,-11.0505,98.8250,105.8300,28.2101,32.5186,3.3417
7.4266,153.5304,46.0394,6.1849,98.6507,-80.4539,108.2880,-107.9137,7.8380,66.3018,-46.8059,144.3087,37.3958,-57.3843,35.8554,54.0979,17.8124,-3.7030,-53.7063
4.5074,160.2169,10.4665,-11.0234,33.8122,-70.2700,47.2302,-146.2705,-59.3319,34.6919,-6.5381,140.5425,-3.8568,-39.9681,-34.7216,37.4434,22.6309,-57.1572,-72.7007
49.6372,154.4971,-0.6535,29.9367,7.6099,-59.2047,25.7085,-140.5890,-49.7551,-5.7275,38.5897,131.5645,-20.1942,-14.5142,-23.5779,53.9364,58.7018,-67.8076,-64.6709
81.7425,139.0742,-25.0007,57.2589,-22.1931,-43.7210,-14.0267,-147.3334,-17.5390,-55.7008,39.4907,133.9008,-54.2550,-32.9292,9.8512,31.0382,51.6901,-58.8552,-66.8235
78.5429,100.7256,-46.9400,34.2170,-49.9696,-24.8458,-73.4375,-151.8287,-48.3991,-79.7250,25.2612,123.4551,-57.3049,-64.4790,-9.3702,-6.4017,-10.4326,-67.1412,-84.0997
63.5042,36.0411,-40.1369,-3.5845,-40.8170,-22.8450,-102.4194,-124.0983,-105.5222,-61.4990,43.4452,75.3531,4.6875,-68.3590,-48.6128,16.0676,-73.5549,-79.2814,-98.7692
28.6563,-15.0201,-27.7179,-42.0226,-21.8873,-52.6098,-66.8987,-93.5100,-79.0540,1.9949,68.6591,13.8580,53.9054,-34.0011,-36.8978,75.9328,-134.5686,-93.5194,-90.9497
-36.8277,-32.4617,-35.3600,-88.1893,-27.2281,-97.1983,16.0829,-65.4652,54.8872,95.3929,57.4895,-31.6436,51.2777,25.9669,38.7167,118.5250,-203.0621,-127.9222,-57.6109
-99.2170,-56.1610,-63.9781,-129.7032,-47.0435,-129.1159,73.7575,-13.4163,188.0211,164.2337,20.4430,-72.4945,40.9385,65.4066,119.1724,148.9529,-236.1603,-162.4815,-17.0940
-121.2575,-88.4371,-93.5188,-155.5163,-69.1924,-141.5094,65.4950,35.4423,228.1452,178.3158,-15.3449,-112.6739,21.0713,66.4186,145.5101,169.9941,-217.7620,-164.0145,19.8607
